Run #1	Run #1	Run #1	Run #1
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
9,250	0,17	0,54	3,12
9,300	0,20	0,69	3,00
9,350	0,24	0,84	2,49
9,400	0,28	0,94	1,61
9,450	0,33	1,00	0,55
9,500	0,38	0,99	-0,34
9,550	0,43	0,96	-0,41
9,600	0,48	0,95	-0,88
9,650	0,52	0,88	-1,72
9,700	0,57	0,78	-1,98
9,750	0,60	0,68	-2,40
9,800	0,63	0,54	-3,13
9,850	0,66	0,37	-3,36
9,900	0,67	0,20	-3,31
9,950	0,68	0,03	-3,37
10,000	0,67	-0,13	-3,33
10,050	0,66	-0,30	-3,21
10,100	0,64	-0,46	-3,22
10,150	0,62	-0,62	-2,95
10,200	0,58	-0,75	-2,18
10,250	0,54	-0,84	-1,73
10,300	0,50	-0,92	-1,32
10,350	0,45	-0,97	-0,48
10,400	0,40	-0,97	-0,14
10,450	0,35	-0,99	0,07
10,500	0,30	-0,96	1,04
10,550	0,26	-0,88	2,02
10,600	0,21	-0,76	2,82
10,650	0,18	-0,60	3,22
10,700	0,15	-0,44	3,21
10,750	0,14	-0,28	3,24
10,800	0,13	-0,12	3,17
10,850	0,12	0,04	3,09
10,900	0,13	0,19	3,18
10,950	0,14	0,36	3,24
11,000	0,17	0,52	3,13
11,050	0,20	0,67	3,05
11,100	0,23	0,82	2,54
11,150	0,28	0,92	1,48
11,200	0,32	0,97	0,63
11,250	0,37	0,99	0,06
11,300	0,42	0,98	-0,36
11,350	0,47	0,95	-0,93
11,400	0,52	0,88	-1,65
11,450	0,56	0,79	-1,97
11,500	0,60	0,69	-2,35
11,550	0,63	0,55	-3,06
11,600	0,65	0,38	-3,29
11,650	0,67	0,22	-3,28
11,700	0,67	0,05	-3,37
11,750	0,67	-0,12	-3,31
11,800	0,66	-0,28	-3,22
11,850	0,64	-0,44	-3,26
11,900	0,62	-0,60	-2,95
11,950	0,58	-0,73	-2,21
12,000	0,55	-0,83	-1,76
12,050	0,50	-0,91	-1,41
12,100	0,45	-0,97	-0,55
12,150	0,41	-0,96	-0,09
12,200	0,36	-0,97	0,00
12,250	0,31	-0,96	0,87
12,300	0,26	-0,89	1,91
12,350	0,22	-0,77	2,76
12,400	0,18	-0,61	3,16
12,450	0,16	-0,46	3,16
12,500	0,14	-0,30	3,21
12,550	0,13	-0,14	3,17
12,600	0,13	0,02	3,13
12,650	0,13	0,18	3,18
12,700	0,14	0,34	3,21
12,750	0,16	0,50	3,10
12,800	0,19	0,65	3,05
12,850	0,23	0,80	2,61
12,900	0,27	0,91	1,62
12,950	0,32	0,97	0,68
13,000	0,37	0,98	0,02
13,050	0,42	0,97	-0,27
13,100	0,47	0,95	-0,83
13,150	0,51	0,88	-1,58
13,200	0,56	0,79	-1,88
13,250	0,59	0,70	-2,28
13,300	0,63	0,56	-3,00
13,350	0,65	0,40	-3,31
13,400	0,66	0,23	-3,26
13,450	0,67	0,07	-3,28
13,500	0,67	-0,10	-3,31
13,550	0,66	-0,26	-3,22
13,600	0,65	-0,42	-3,24
13,650	0,62	-0,58	-3,00
13,700	0,59	-0,72	-2,25
13,750	0,55	-0,81	-1,79
13,800	0,51	-0,90	-1,46
13,850	0,46	-0,96	-0,58
13,900	0,41	-0,96	-0,16
13,950	0,36	-0,97	-0,10
14,000	0,31	-0,97	0,80
14,050	0,27	-0,89	1,84
14,100	0,22	-0,78	2,66
14,150	0,19	-0,63	3,11
14,200	0,16	-0,47	3,14
14,250	0,14	-0,31	3,19
14,300	0,13	-0,15	3,17
14,350	0,13	0,01	3,11
14,400	0,13	0,16	3,14
14,450	0,14	0,32	3,19
14,500	0,16	0,48	3,10
14,550	0,19	0,63	3,07
14,600	0,23	0,79	2,66
14,650	0,27	0,90	1,62
14,700	0,32	0,95	0,73
14,750	0,36	0,97	0,20
14,800	0,41	0,97	-0,19
14,850	0,46	0,95	-0,80
14,900	0,51	0,89	-1,53
14,950	0,55	0,80	-1,81
15,000	0,59	0,71	-2,21
15,050	0,62	0,58	-2,97
15,100	0,65	0,41	-3,24
15,150	0,66	0,25	-3,22
15,200	0,67	0,09	-3,34
15,250	0,67	-0,08	-3,31
15,300	0,66	-0,24	-3,17
15,350	0,65	-0,40	-3,24
15,400	0,62	-0,57	-3,03
15,450	0,59	-0,70	-2,26
15,500	0,55	-0,79	-1,81
15,550	0,51	-0,88	-1,53
15,600	0,46	-0,95	-0,65
15,650	0,42	-0,95	-0,19
15,700	0,37	-0,97	-0,15
15,750	0,32	-0,96	0,71
15,800	0,27	-0,89	1,74
15,850	0,23	-0,79	2,57
15,900	0,19	-0,64	3,06
15,950	0,17	-0,48	3,13
16,000	0,15	-0,32	3,17
16,050	0,13	-0,17	3,13
16,100	0,13	-0,01	3,11
16,150	0,13	0,14	3,14
16,200	0,14	0,30	3,14
16,250	0,16	0,46	3,12
16,300	0,19	0,61	3,12
16,350	0,22	0,77	2,66
16,400	0,27	0,88	1,65
16,450	0,31	0,94	0,80
16,500	0,36	0,96	0,28
16,550	0,41	0,96	-0,12
16,600	0,46	0,95	-0,73
16,650	0,50	0,89	-1,44
16,700	0,55	0,80	-1,80
16,750	0,58	0,71	-2,20
16,800	0,62	0,58	-2,88
16,850	0,64	0,42	-3,19
